agentId,agentWallet,score,units
23185,0x2015DB0380C2B754bFBE722AD76ca58dd6bc8A52,59.29,10
22625,0xABb57831eA27B2610EAb0Da51d8b351C5B3aF5C4,59.27,10
24502,0x53f792e5442E7454BFc2c01Ac8A62976B4d35EbD,59.25,10
24571,0x9c94633a35af5a50E015307283D1b3CeeC00eCb1,59.25,10
24660,0x6207D24821222dAa78C288c087Fff09b7815546e,59.25,10
20507,0x5F4AeFEfC50b8f17719485e55c4475b73E6caBC4,59.23,10
19208,0x903Dd30042Ae53844Ae83BDf2BCf839C4e80eeF8,59.21,10
22925,0x1Aa8f845cEA1D261Ac1A497685c672Ad0FD264bb,59.21,10
22933,0x5F401b0a630360dEC0bB15583d7d3359A39aCb6C,59.21,10
20193,0xE9C92e34DaF35FD3f5C0d311C973F7F15caE6eb8,59.14,10
19178,0x5f2DAC67046b398789229ea1819f02c9F487CCe3,59.13,10
19184,0x9c1Bd1b58BA842C9F5687ADC3E37BdFF50EdFf91,59.13,10
19404,0x65dC798766Ad0f2aEB8F79234c9E9e7a1a3B0d15,59.13,10
20350,0xc76b7F5BC0FDeD34c035f4dF38A8A771E4FEb87A,59.13,10
19352,0x024605325d84a6D0457e8d4086F7223c8147C918,58.61,10
24506,0x23B2BEab97e59Ba9A9015e5D6B00299C0feaceE2,58.36,10
24533,0x0491Ec8Fa388cb5DcC3c706C5362742977718177,58.31,10
20506,0x089ac3c063b870690E99143c0AFB9389B0bAb527,58.24,10
20508,0x073AA1DF3B828EB2371282ac0F5a88acc72545b8,58.24,10
23660,0x977605Cc5558ED93C207089eF7C74f74d605DbF1,58.19,10
24507,0x632a25546A61B9BB7BfAA5C1796DCA4067B73Fd3,58.19,10
27438,0x644f0b4DCD9a2d6A371871aa929f20DF8Cf7dc76,58.17,10
24501,0x52F5960Ad754dE5E97e0E9Fe122F1Cf743c1D7F3,58.16,10
27439,0x2c31b90630C1e48796153fefb07457974407c9CB,58.12,10
27440,0xa60D5aB865Da9d50dDc9aa659Dc7D964E9B9EF1B,58.12,10
24369,0x9e9dc7D000C83BEe9f30a3e9b4f7aC8FCa399a73,58.11,10
23661,0xcE5B5C0BAa45FB21552518366F37c71F2Ff44693,58.1,10
19664,0xB43f5914fc9e89eBAc216629e38a73Fd13068dAB,58.08,10
23663,0x357FE151305840BF7dceF22270C99de3B5207ab8,58.07,10
23664,0x8CDfda11BD22e499F0bE3eA784Fe4f5Dc57489F4,58.07,10
23678,0xec53190C9A64eC969A8faf27A84519f599d7ee8F,58.07,10
24370,0xac3749b9955EF265DD9b1542c6A4D0016Cd5B494,58.07,10
19651,0x9d2E1f65e15AA0190CF879b04D02d266aD886f20,58.06,10
19684,0xf7bced4900D73FA8a2DA66453CEb4B9dfC30a762,58.06,10
24511,0xD3C02ba95e4554C9Bbe3fFb13852f574d5752a6B,58.05,10
24520,0x4b3a6565DfBEdC036EF43Da7E2EE22F19D840a91,58.05,10
24544,0x6EE5722990078EC64009A0D0390C854CF84A2a03,58.05,10
24553,0x8495c65043c70F55C1797477275f00A304e4677a,58.05,10
24558,0x266d03723A37cea2B77E0ae797607814Fa8dc4cf,58.05,10
24560,0x6446c429607be6faF08069F6D5752559b7ae320A,58.05,10
19617,0x4d4350438dF562a37F82Adf346D105c7dE08388b,58.04,10
23667,0xdd6C112b0210c7c8729A8B371D6D6Efc8F88971A,58.03,10
23680,0x8166B2CCe999Ad7D14627a976857A69A57613640,58.03,10
24548,0x2D3590C626E477A6E51AA0DbA6e1f733002ce49C,58.03,10
19621,0x8EfE575044802B348C723598Ef115788f0BdF652,57.99,10
19634,0x675C84896FdAa8046A83609e6dA5d488Dd64884C,57.99,10
19717,0x2093Ba54460C48D66a488E6d27E076cCAFFcBFa5,57.99,10
